"specificationID","sectionID","sectionLabel","sectionURL","definitionID","definitionURL","definitionTerm","definitionText","definitionIsLocal"
"JSON-4.0","section_3.2","Section 3.2. Conformance Targets Attribute Specification","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.2","definition_conformance_target","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_conformance_target","conformance target","The term conformance target is defined by [CTAS] Section 3.1, Conformance Target Defined which states:  A conformance target is a class of artifact, such as an interface, protocol, document, platform, process or service, that is the subject of conformance clauses and normative statements. There may be several conformance targets defined within a specification, and these targets may be diverse so as to reflect different aspects of a specification. For example, a protocol message and a protocol engine may be different conformance targets.",false
"JSON-4.0","section_3.2","Section 3.2. Conformance Targets Attribute Specification","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.2","definition_conformance_target_identifier","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_conformance_target_identifier","conformance target identifier","The term conformance target identifier is defined by [CTAS] Section 3.1, Conformance Target Defined, which states:  A conformance target identifier is an internationalized resource identifier that uniquely identifies a conformance target.",false
"JSON-4.0","section_3.3","Section 3.3. NIEM Naming and Design Rules","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.3","definition_conformant_instance_XML_document","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_conformant_instance_XML_document","conformant instance XML document","The term conformant instance XML document is a conformance target defined by the [NIEM NDR] Section 4.1.4, Instance documents and elements, which states: ",false
"JSON-4.0","section_3.3","Section 3.3. NIEM Naming and Design Rules","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.3","definition_conformant_schema_document_set","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_conformant_schema_document_set","conformant schema document set","The term conformant schema document set is a conformance target defined by the [NIEM NDR] Section 4.1.3, Schema document set, which states: ",false
"JSON-4.0","section_2.2.1","Section 2.2.1. Rules","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_2.2.1","definition_constraint_rule","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_constraint_rule","constraint rule","A constraint rule is a rule that sets a requirement on an artifact with respect to its conformance to a conformance target.",true
"JSON-4.0","section_3.2","Section 3.2. Conformance Targets Attribute Specification","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.2","definition_effective_conformance_target_identifier","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_effective_conformance_target_identifier","effective conformance target identifier","The term effective conformance target identifier is defined by [CTAS] Section 4, Semantics and Use, which states:  An effective conformance target identifier of a conformant document is an internationalized resource identifier reference that occurs in the document’s effective conformance targets attribute.",false
"JSON-4.0","section_3.7","Section 3.7. RDF and RDF Schema","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.7","definition_equivalent","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_equivalent","equivalent","[RDF-Concepts] Section 1.7, Equivalence, Entailment and Inconsistency defines the term equivalent:  Two RDF graphs A and B are equivalent if they make the same claim about the world. A is equivalent to B if and only if A entails B and B entails A.",false
"JSON-4.0","section_3.3","Section 3.3. NIEM Naming and Design Rules","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.3","definition_extension_schema_document","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_extension_schema_document","extension schema document","The term extension schema document is a conformance target defined by the [NIEM NDR] Section 4.1.2, Extension schema document, which states: ",false
"JSON-4.0","section_3.3","Section 3.3. NIEM Naming and Design Rules","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.3","definition_external_schema_document","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_external_schema_document","external schema document","The term external schema document is defined by the [NIEM NDR] Section 10.2.3, External adapter types and external components, which states: ",false
"JSON-4.0","section_3.4","Section 3.4. Model Package Description Specification","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.4","definition_IEP_conformance_target","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_IEP_conformance_target","IEP conformance target","The term IEP conformance target is defined by [MPD] Section 5.6, Defining Information Exchange Packages. An IEP conformance target defines a set of conformance criteria for a class of information exchange package (IEP).",false
"JSON-4.0","section_3.4","Section 3.4. Model Package Description Specification","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.4","definition_information_exchange_package","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_information_exchange_package","information exchange packageIEP","The term information exchange package is defined by [MPD] Section 3.2.3, IEP Conformance Targets. An information exchange package (IEP) is an XML document that conforms to the criteria defined for an IEP conformance target.",false
"JSON-4.0","section_3.4","Section 3.4. Model Package Description Specification","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.4","definition_IEP","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_IEP","information exchange packageIEP","The term information exchange package is defined by [MPD] Section 3.2.3, IEP Conformance Targets. An information exchange package (IEP) is an XML document that conforms to the criteria defined for an IEP conformance target.",false
"JSON-4.0","section_2.2","Section 2.2. Normative and informative content","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_2.2","definition_informative","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_informative","informative","The term informative is as defined by [ConfReq] Section 7.2, Conformance by key words, which states:INFORMATIVE (NON-NORMATIVE) — statements provided for informational purposes, intended to assist the understanding or use of the specification and shall not contain provisions that are required for conformance.",true
"JSON-4.0","section_2.2.1","Section 2.2.1. Rules","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_2.2.1","definition_interpretation_rule","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_interpretation_rule","interpretation rule","An interpretation rule is a rule that sets the methodology, pattern, or procedure for understanding some aspect of an instance of a conformance target.",true
"JSON-4.0","section_3.5","Section 3.5. JSON","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.5","definition_JSON_document","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_JSON_document","JSON document","The term JSON document, when used within this document, is synonymous with JSON text.",false
"JSON-4.0","section_3.5","Section 3.5. JSON","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.5","definition_JSON_text","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_JSON_text","JSON text","The term JSON text is defined by [RFC8259] Section 2, JSON Grammar, which defines it as a single serialized JSON value.",false
"JSON-4.0","section_3.6","Section 3.6. JSON-LD","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.6","definition_JSON-LD_document","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_JSON-LD_document","JSON-LD document","[JSON-LD] defines JSON-LD, a JSON-based format to serialize linked data. [JSON-LD] defines the term JSON-LD document. [JSON-LD] Section 7, Data Model provides a summary of what constitutes a JSON-LD document. [JSON-LD] Section 8, JSON-LD Grammar states:  A JSON-LD document MUST be a valid JSON document as described in [RFC4627].",false
"JSON-4.0","section_5.1","Section 5.1. Literal-to-object conversion","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_5.1","definition_literal-to-object_conversion","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_literal-to-object_conversion","literal-to-object conversion","Within this document, literal-to-object conversion is a process by which a JSON value is transformed from a value of false, null, true, number, or string, into an object containing only the property rdf:value. Evaluation of conformance of a JSON document is conducted on the results of literal-to-object conversion of that document.",true
"JSON-4.0","section_4.2","Section 4.2. NIEM JSON document laxly conformant to a schema","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_4.2","definition_NIEM_JSON_document_laxly_conformant_to_a_schema","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_NIEM_JSON_document_laxly_conformant_to_a_schema","NIEM JSON document laxly conformant to a schema","A NIEM JSON document laxly conformant to a schema is a JSON-LD document that may be interpreted using the RDF vocabulary defined by a conformant schema document set. It is a conformance target of this specification. A NIEM JSON document laxly conformant to a schema MUST conform to all rules of this specification that apply to this conformance target. The conformance target identifier for this conformance target is http://reference.niem.gov/niem/specification/niem-json-spec/4.0/#Lax.",true
"JSON-4.0","section_4.1","Section 4.1. NIEM JSON document strictly conformant to a schema","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_4.1","definition_NIEM_JSON_document_strictly_conformant_to_a_schema","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_NIEM_JSON_document_strictly_conformant_to_a_schema","NIEM JSON document strictly conformant to a schema","A NIEM JSON document strictly conformant to a schema is a JSON-LD document that may be assigned a one-to-one correspondence to a conformant instance XML document valid against a conformant schema document set. It is a conformance target of this specification. A NIEM JSON document strictly conformant to a schema MUST conform to all rules of this specification that apply to this conformance target. The conformance target identifier for this conformance target is http://reference.niem.gov/niem/specification/niem-json-spec/4.0/#Strict.",true
"JSON-4.0","section_2.2","Section 2.2. Normative and informative content","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_2.2","definition_normative","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_normative","normative","The term normative is as defined by [ConfReq] Section 7.2, Conformance by key words, which states:NORMATIVE — statements provided for the prescriptive parts of the specification, providing that which is necessary in order to be able to claim conformance to the specification.",true
"JSON-4.0","section_3.7","Section 3.7. RDF and RDF Schema","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.7","definition_RDF_graph","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_RDF_graph","RDF graph","[RDF-Concepts] Section 3, RDF Graphs defines the term RDF graph:  An RDF graph is a set of RDF triples.",false
"JSON-4.0","section_3.3","Section 3.3. NIEM Naming and Design Rules","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#section_3.3","definition_reference_schema_document","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_reference_schema_document","reference schema document","The term reference schema document is a conformance target defined by the [NIEM NDR] Section 4.1.1, Reference schema document, which states: ",false